call_id,ticker,company,quarter,event_date,source_url,youtube_id,title,channel,upload_date,metadata_confidence,benchmark_quality_flag,notes
nvda2025_01,NVDA,NVIDIA,Q4_FY2025,2025-02-26,https://investor.nvidia.com/news/press-release-details/2025/NVIDIA-Announces-Financial-Results-for-Fourth-Quarter-and-Fiscal-2025/,,NVIDIA Fourth Quarter and Fiscal 2025 financial results,NVIDIA Investor Relations,2025-02-26,high,good,"Official NVIDIA press release for Q4 FY25, part of the four-call calendar-year 2025 history pack."
nvda2025_02,NVDA,NVIDIA,Q1_FY2026,2025-05-28,https://investor.nvidia.com/news/press-release-details/2025/NVIDIA-Announces-Financial-Results-for-First-Quarter-Fiscal-2026/default.aspx,,NVIDIA First Quarter Fiscal 2026 financial results,NVIDIA Investor Relations,2025-05-28,high,good,"Official NVIDIA press release for Q1 FY26, part of the four-call calendar-year 2025 history pack."
nvda2025_03,NVDA,NVIDIA,Q2_FY2026,2025-08-27,https://investor.nvidia.com/news/press-release-details/2025/NVIDIA-Announces-Financial-Results-for-Second-Quarter-Fiscal-2026/default.aspx,,NVIDIA Second Quarter Fiscal 2026 financial results,NVIDIA Investor Relations,2025-08-27,high,good,"Official NVIDIA press release for Q2 FY26, part of the four-call calendar-year 2025 history pack."
nvda2025_04,NVDA,NVIDIA,Q3_FY2026,2025-11-19,https://investor.nvidia.com/news/press-release-details/2025/NVIDIA-Announces-Financial-Results-for-Third-Quarter-Fiscal-2026/default.aspx,,NVIDIA Third Quarter Fiscal 2026 financial results,NVIDIA Investor Relations,2025-11-19,high,good,"Official NVIDIA press release for Q3 FY26, part of the four-call calendar-year 2025 history pack."
