call_id,raw_transcript_path,char_count,line_count,contains_guidance_keyword,contains_outlook_keyword,contains_expect_keyword,contains_reaffirm_keyword,contains_raise_keyword,contains_lower_keyword,contains_withdraw_keyword
call01,data/gold_guidance_calls/raw_calls/PLTR_2025_Q4_call01.txt,42989,1166,true,true,true,false,true,false,false
call02,data/gold_guidance_calls/raw_calls/LEU_2025_Q4_call02.txt,45097,1148,true,false,true,false,true,true,false
call03,data/gold_guidance_calls/raw_calls/GOOGL_2025_Q4_call03.txt,53870,1668,false,true,true,false,true,true,false
call04,data/gold_guidance_calls/raw_calls/IBM_2025_Q4_call04.txt,57400,633,true,false,true,false,false,false,false
call05,data/gold_guidance_calls/raw_calls/MSFT_2026_Q2_call05.txt,52105,561,true,true,true,false,false,true,false
call06,data/gold_guidance_calls/raw_calls/AAPL_2026_Q1_call06.txt,48050,527,true,true,true,false,false,false,false
call07,data/gold_guidance_calls/raw_calls/NVDA_2026_Q4_call07.txt,52819,430,false,true,true,false,false,true,true
call08,data/gold_guidance_calls/raw_calls/LLY_2025_Q2_call08.txt,56591,706,true,true,true,false,true,true,true
